bus_name,address,city,state,tax_year,revenue,explanation
MOBILIZATION OPTIMIZATION STABILIZATION & TRAINING TRUST,PO BOX 17-1577,KANSAS CITY,KS,2011,9986298,"IN MARCH 2012, THE ORGANIZATION DISCOVERED THAT AN EMPLOYEE, ANGELA HENINGER, EXECUTIVE ASSISTANT TO THE ADMINISTRATOR, MAY HAVE IMPROPERLY MISAPROPRIATED APPROXIMATELY $480,000 IN FUND ASSETS SINCE 2006. $104,069 WAS MISAPPROPRIATED DURING 2011. MS. HENINGER ABANDONED HER EMPLOYMENT WITH MOST. NOTICE OF HER ALLEGED ACTS WAS PROVIDED TO THE KANSAS CITY OFFICE OF THE EMPLOYEE BENFITS SECURITY ADMIN., U.S. DEPARTMENT OF LABOR. THE ORGANIZATION HAS COOPERATED WITH THE DEPARTMENT OF LABOR'S INVESTIGATION AND HAS FILED A CLAIM WITH ITS FIDELITY BOND INSURANCE PROVIDER."
MOBILIZATION OPTIMIZATION STABILIZATION & TRAINING TRUST,PO BOX 17-1577,KANSAS CITY,KS,2012,8659502,"IN MARCH 2012, THE ORGANIZATION DISCOVERED THAT AN EMPLOYEE, ANGELA HENINGER, EXECUTIVE ASSISTANT TO THE ADMINISTRATOR, MAY HAVE IMPROPERLY MISAPPROPRIATED APPROXIMATELY $480,000 IN FUND ASSETS SINCE 2006. $3,678 WAS MISAPPROPRIATED DURING 2012. MS. HENINGER ABANDONED HER EMPLOYMENT WITH MOST. NOTICE OF HER ALLEGED ACTS WAS PROVIDED TO THE KANSAS CITY OFFICE OF THE EMPLOYEE BENEFITS SECURITY ADMIN., U.S. DEPARTMENT OF LABOR. THE ORGANIZATION HAS COOPERATED WITH THE DEPARTMENT OF LABOR'S INVESTIGATION AND HAS FILED A CLAIM WITH ITS FIDELITY BOND INSURANCE PROVIDER."
PRESBYTERIAN MANORS INC,PO BOX 20440 SUITE,WICHITA,KS,2013,95992242,"A MISAPPROPRIATION OF ASSETS OCCURRED IN THE AMOUNT OF $1,287,991 THROUGH FAKE VENDORS SET UP BY THE INFORMATION SYSTEMS DIRECTOR FOR THE ORGANIZATION. AFTER PRIVATE INVESTIGATION, THE PERSON RESPONSIBLE WAS INDICTED IN JULY 2014. THE ORGANIZATION HAS STRENGTHENED THEIR INTERNAL CONTROLS SINCE THE DIVERSION."
PRESBYTERIAN MANORS OF MID-AMERICA INC,PO BOX 20440 SUITE,WICHITA,KS,2013,8318705,"A MISAPPROPRIATION OF ASSETS OCCURRED IN THE AMOUNT OF $197,817 THROUGH FAKE VENDORS SET UP BY THE INFORMATION SYSTEMS DIRECTOR FOR THE ORGANIZATION. AFTER PRIVATE INVESTIGATION, THE PERSON RESPONSIBLE WAS INDICTED IN JULY 2014. THE ORGANIZATION HAS STRENGTHENED THEIR INTERNAL CONTROLS SINCE THE DIVERSION."
EASTERN KENTUCKY CHILD CARE COALITION INC,PO BOX 267,BEREA,KY,2010,1579030,DISCOVERY OF UNAUTHORIZED USE OF CASH BY FORMER EMPLOYEE
EASTERN KENTUCKY CHILD CARE COALITION INC,PO BOX 267,BEREA,KY,2014,643975,DISCOVERY OF UNAUTHORIZED USE OF CASH BY FORMER EMPLOYEE
INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 783,7711 BEULAH CHURCH ROAD,LOUISVILLE,KY,2011,2212871,"DURING THE REPORTING PERIOD THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS PERFORMED A ROUTINE AUDIT OF THE LOCAL. DURING THE AUDIT, IT WAS DETERMINED THAT THERE HAD BEEN A MISAPPROPRIATION OF LOCAL ASSETS IN THE AMOUNT OF APROXIMENTELY $70,000 OVER THE PAST THREE YEARS. THE MAJORITY OF THE MISAPPROPRIATION WAS DUE TO THE IMPROPER AND/OR FRADULENT REIMBURSEMENT OF EXPENSES AND THE IMPROPER VALUATION/DISBURSEMENT OF VACATION PAY. THE LOCAL HAS NOTIFIED ITS FIDELITY BOND COMPANY OF ITS INTENT TO FILE A CLAIM ON THE BOND FOR UNREIMBURSED AMOUNTS. SUBSEQUENT TO YEAR END THE LOCAL WAS REIMBURSED BY CERTAIN OFFICERS AND CERTAIN EMPLOYEES FOR AMOUNTS IDENTIFIED AS IMPROPER."
KAPPA DELTA SORORITY-DELTA GAMMA CHAPTER WESTERN KY UNIVERSITY,1600 CHESTNUT STREET,BOWLING GREEN,KY,2013,127560,"CHECKING ACCOUNT WAS HACKED BY A NON-MEMBER DURING THE YEAR AND THE ORGANIZATION LOST 8,762. THE PERSON IS CURRENTLY IN THE WARREN COUNTY KENTUCKY JAIL."
NIGHT STALKER ASSOCIATION,11300 BELL STATION ROAD,OAK GROVE,KY,2014,310028,"DURING 2016 THE ENTITY DISCOVERED THAT A FORMER EMPLOYEE HAD MISAPPROPRIATED CASH FROM DONATIONS AND/OR SALES. ALTHOUGH THE TOTAL AMOUNT OF THE THEFT IS NOT KNOWN, THE ESTIMATED AMOUNT OF CASH MISSING FROM 2014 IS $38,645 AND FROM 2015 IS $39,978. THE $38,645 RELATING TO 2014 WAS RECOGNIZED AS THEFT LOSS ON THIS AMENDED RETURN. AN INSURANCE CLAIM HAS BEEN FILED WITH A MAXIMUM EXPECTED RECOVERY OF $15,000. THE INSURANCE CLAIM HAS NOT YET BEEN PROCESSED. THE FORMER EMPLOYEE CONFESSED TO MISAPPROPRIATING CASH AND CHARGES WERE FILED WITH LOCAL AUTHORITIES FOR RECOVERY OF THE FUNDS AND ADJUDICATION."
NIGHT STALKER ASSOCIATION,11300 BELL STATION ROAD,OAK GROVE,KY,2015,274110,"DURING 2016 THE ENTITY DISCOVERED THAT A FORMER EMPLOYEE HAD MISAPPROPRIATED CASH FROM DONATIONS AND/OR SALES. ALTHOUGH THE TOTAL AMOUNT OF THE THEFT IS NOT KNOWN, THE ESTIMATED AMOUNT OF CASH MISSING FROM 2014 IS $38,645 AND FROM 2015 IS $39,978. THE $39,978 RELATING TO 2015 WAS RECOGNIZED AS THEFT LOSS ON THIS RETURN. AN INSURANCE CLAIM HAS BEEN FILED WITH A MAXIMUM EXPECTED RECOVERY OF $15,000. THE INSURANCE CLAIM HAS NOT YET BEEN PROCESSED. THE FORMER EMPLOYEE CONFESSED TO MISAPPROPRIATING CASH AND CHARGES WERE FILED WITH LOCAL AUTHORITIES FOR RECOVERY OF THE FUNDS AND ADJUDICATION."
NIGHT STALKER ASSOCIATION,11304 BELL STATION ROAD,OAK GROVE,KY,2015,274110,"DURING 2016 THE ENTITY DISCOVERED THAT A FORMER EMPLOYEE HAD MISAPPROPRIATED CASH FROM DONATIONS AND/OR SALES. ALTHOUGH THE TOTAL AMOUNT OF THE THEFT IS NOT KNOWN, THE ESTIMATED AMOUNT OF CASH MISSING FROM 2014 IS $38,645 AND FROM 2015 IS $39,978. THE $39,978 RELATING TO 2015 WAS RECOGNIZED AS THEFT LOSS ON THIS RETURN. AN INSURANCE CLAIM HAS BEEN FILED WITH A MAXIMUM EXPECTED RECOVERY OF $15,000. THE INSURANCE CLAIM HAS NOT YET BEEN PROCESSED. THE FORMER EMPLOYEE CONFESSED TO MISAPPROPRIATING CASH AND CHARGES WERE FILED WITH LOCAL AUTHORITIES FOR RECOVERY OF THE FUNDS AND ADJUDICATION."
WOODBINE VOLUNTEER FIRE RESCUE,P O BOX 247,WOODBINE,KY,2016,54276,MATERIAL ASSETS IN THE FORM OF CASH WERE EMBEZZLED FROM THE ORGANIZATIONS GAMING ACTIVITIES
HAMILTON INVESTMENT PROPERTIES COMMUNITY HOUSING ORGANIZATION INC,4919 JAMESTOWN AVE STE 204B,BATO ROUGE,LA,2014,100077,"OFFICER/BOARD OF DIRECTOR, SYLVESTER STEWART MISAPPROPRIATED FUNDS IN THE AMOUNT OF $5500. WE ARE CURRENTLY PURSUING RESTITUTION."
INTL ASSOCIATION OF BRIDGE STRUCTURAL & ORNAMENTAL IRONWORKERS LOCAL 58,3035 PARIS AVE,NEW ORLEANS,LA,2011,576933,"DURING THE FISCAL YEAR ENDING JUNE 30, 2012 A FORMER EMPLOYEE, NOT AN OFFICER, ADMITTED IN A WRITTEN DOCUMENT TO THE ENTITY THAT A DIVERSION OF FUNDS HAD OCCURED NOT ONLY FOR THE CURRENT FISCAL YEAR BUT ALSO FOR PRIOR FISCAL YEARS. THE DIVERSION OF FUNDS TRANSPIRED THROUGH CASH RECEIPTS THE EMPLOYEE WAS RESPONSIBLE FOR. THE AMOUNT OF THE DIVERSION HAS BEEN QUANTIFIED TO $29,277. THE CORRECTIVE ACTIONS TAKEN TO ADDRESS THIS MATTER INCLUDES THE FOLLOWING:1. A BONDING CLAIM HAS BEEN FILED WITH THE INSURANCE AGENCY THAT COVERED THIS EMPLOYEES DUTIES,2. THE MEMBERSHIP OF THE ORGANIZATION HAS BEEN MADE AWARE OF THE DIVERSION OF FUNDS.3. LEGAL COUNSEL OF THE ENTITY HAS COMMUNICATED WITH THE UNITED STATES DEPARTMENT OF LABOR THE KNOWN FACTS RELATED TO THE DIVERSION OF FUNDS.4. THE FORMER EMPLOYEE HAS VOLUNTARILY BEGUN MAKING PAYMENTS TOWARD RESTITUTION OF THE DIVERTED FUNDS.5. A DETAILED EXAMINATION GOING BACK 5 YEARS WAS PERFORMED BY A LICENCED CPA FIRM TO QUANTIFY THE DIVERSION."
JAKE OWEN RABORN FOUNDATION,1123 COMANCHE TRAIL,WEST MONROE,LA,2010,118267,"DON AND STACI RABORN, BOARD MEMBERS , BORROWED MONEY FROM THE ENTITY WITHOUT BOARD APPROVAL."
JAKE OWEN RABORN FOUNDATION,1123 COMANCHE TRAIL,WEST MONROE,LA,2011,253167,"DON AND STACI RABORN, BOARD MEMBERS , BORROWED MONEY FROM THE ENTITY WITHOUT BOARD APPROVAL."
JAKE OWEN RABORN FOUNDATION,1123 COMANCHE TRAIL,WEST MONROE,LA,2012,24322,"DON AND STACI RABORN, BOARD MEMBERS , BORROWED MONEY FROM THE ENTITY WITHOUT BOARD APPROVAL."
JAKE OWEN RABORN FOUNDATION,P O BOX 3097,WEST MONROE,LA,2013,6759,"DON AND STACI RABORN, BOARD MEMBERS , BORROWED MONEY FROM THE ENTITY WITHOUT BOARD APPROVAL."
K & D TRANSIT LLC,6218 LAFLEUR DRIVE,SHREVEPORT,LA,2015,337524,
K & D TRANSIT LLC,6218 LA FLEUR DRIVE,SHREVEPORT,LA,2016,0,
LOUISIANA ASSOC OF COMMUNITY ACTION PARTNERSHIP INC,11637 INDUSTRIPLEX BLVD,BATON ROUGE,LA,2010,74042675,"AN EMBEZZLEMENT BY AN EMPLOYEE WAS DISCOVERED DURING THE TAX YEAR. THE EMPLOYEE WAS TERMINATED, AND THE MATTER WAS TURNED OVER TO THE LOCAL DISTRICT ATTORNEY FOR PROSECUTION.RESTITUTION HAS BEEN SOUGHT, AND SOME RECOVERY HAS BEEN RECEIVED. ADDITIONALLY, INSURANCE POLICY PROCEEDS HAVE BEEN SOUGHT. THE TOTAL NET LOSS TO THE AGENCY WAS $40,858."
LOUISIANA HORSEMENS BENEVOLENT AND PROTECTIVE ASSOCIATION 1993 INC,1535 GENTILLY BLVD,NEW ORLEANS,LA,2010,6555575,"IN NOVEMBER 2010, THE UNITED STATES INDICTED THE PRESIDENT AND EXECUTIVE DIRECTOR OF LAHBPA 1993, INC. IN A 29-COUNT INDICTMENT CHARGING MAIL FRAUD, WIRE FRAUD, IDENTIFICATION INFORMATION FRAUD AND HEALTH CARE FRAUD IN CONNECTION WITH THE RIGGING OF AN ELECTION BY WHICH THE PRESIDENT AND BOARD OF DIRECTORS OF LAHBPA WERE ELECTED IN MARCH 2008 AND FINANCIAL IRREGULARITIES RELATED TO A MEDICAL BENEFIT TRUST OPERATED BY LAHBPA. THEIR POSITIONS WITH THE COMPANY WERE TERMINATED SHORTLY AFTER THEIR INDICTMENTS, IN JULY 2011, THE FORMER EXECUTIVE DIRECTOR OF THE COMPANY PLEADED GUILTY TO ONE COUNT OF CONSPIRACY TO COMMIT MAIL FRAUD, WIRE FRAUD, AND FRAUD IN CONNECTION WITH IDENTIFICATION DOCUMENTS, ALL IN CONNECTION WITH THE RIGGING OF THE MARCH 2008 ELECTION. IN SEPTEMBER 2011, THE FORMER PRESIDENT OF THE COMPANY PLEADED GUILTY TO ONE COUNT OF CONSPIRACY TO COMMIT MAIL FRAUD, WIRE FRAUD, FRAUD IN CONNECTION WITH IDENTIFICATION DOCUMENTS AND HEALTH CARE FRAUD, ALL IN CONNECTION WITH THE RIGGING OF THE MARCH 2008 ELECTION AND FINANCIAL IRREGULARITIES RELATED TO THE MEDICAL BENEFIT TRUST. SENTENCING OF BOTH INDIVIDUALS IS PENDING."
NOLA 180 DBA LANGSTON HUGHES ACADEMY CHARTER SCHOOL,3519 TRAFALGER STREET,NEW ORLEANS,LA,2009,5364688,"DURING THE YEAR ENDED JUNE 30, 2010, THE SCHOOL INCURRED A LOSS THROUGH MISAPPROPRIATION OF CASH ESTIMATED AT $251,814. THE ORGANIZATION RECEIVED $300,000 IN FEBRUARY, 2010 FROM INSURANCE AND HAS FILED FOR RESTITUTION AGAINST THE FORMER BUSINESS MANAGER."
SHELIA'S ACADEMY AND DAYCARE INC,2024 THOMAS ROAD,BATON ROUGE,LA,2014,123084,
THE CAPITAL APPEALS PROJECT,636 BARONNE STREET,NEW ORLEANS,LA,2009,1184301,"IMMEDIATELY FOLLOWING THE FORMER EXECUTIVE DIRECTOR'S RESIGNATION ON NOVEMBER 2, 2009, THE CAPITAL APPEALS PROJECT DISCOVERED HE HAD STOLEN AN ESTIMATED $230,000 OVER THE FOUR YEARS BEFORE HIS RESIGNATION. THE PORTION OF HIS MISAPPROPRIATION RELATED TO THE TAX YEAR BEING REPORTED IS SHOWN IN OTHER EXPENSES. UPON DISCOVERY OF THE APPARENT CRIME, THE ORGANIZATION IMMEDIATELY REPORTED IT TO THE STATE BOARD AND FULLY COOPERATED IN A DISTRICT ATTORNEY AND STATE LEGISLATIVE AUDITOR INVESTIGATION OF THE STOLEN FUNDS. THE FORMER EXECUTIVE DIRECTOR PLED GUILTY TO FIVE COUNTS OF THEFT AND IS CURRENTLY INCARCERATED."
THE FAMILY TREE INFORMATION EDUCATION AND COUNSELING CENTER IN,P O BOX 2386,LAFAYETTE,LA,2013,582032,DUE TO LOSS OF A GOVERNMENT CONTRACT REVENUE WAS SIGNIFICANTLY LOWER THAN IN PREVIOUS YEARS REQUIRING THE ORGANIZATION TO LIQUIDATE INVESTMENTS TO COVER ORDINARY BUSINESS EXPENSES.
THE LOUISIANA HORSEMEN'S MEDICAL BENEFIT TRUST,1535 GENTILLY BLVD,NEW ORLEANS,LA,2010,3851811,"IN NOVEMBER 2010, THE UNITED STATES INDICTED THE PRESIDENT AND EXECUTIVE DIRECTOR OF LAHBPA 1993, INC. IN A 29-COUNT INDICTMENT CHARGING MAIL FRAUD, WIRE FRAUD, IDENTIFICATION INFORMATION FRAUD AND HEALTH CARE FRAUD IN CONNECTION WITH THE RIGGING OF AN ELECTION BY WHICH THE PRESIDENT AND BOARD OF DIRECTORS OF LAHBPA WERE ELECTED IN MARCH 2008 AND FINANCIAL IRREGULARITIES RELATED TO A MEDICAL BENEFIT TRUST OPERATED BY LAHBPA. THEIR POSITIONS WITH THE COMPANY WERE TERMINATED SHORTLY AFTER THEIR INDICTMENTS, IN JULY 2011, THE FORMER EXECUTIVE DIRECTOR OF THE COMPANY PLEADED GUILTY TO ONE COUNT OF CONSPIRACY TO COMMIT MAIL FRAUD, WIRE FRAUD, AND FRAUD IN CONNECTION WITH IDENTIFICATION DOCUMENTS, ALL IN CONNECTION WITH THE RIGGING OF THE MARCH 2008 ELECTION. IN SEPTEMBER 2011, THE FORMER PRESIDENT OF THE COMPANY PLEADED GUILTY TO ONE COUNT OF CONSPIRACY TO COMMIT MAIL FRAUD, WIRE FRAUD, FRAUD IN CONNECTION WITH IDENTIFICATION DOCUMENTS AND HEALTH CARE FRAUD, ALL IN CONNECTION WITH THE RIGGING OF THE MARCH 2008 ELECTION AND FINANCIAL IRREGULARITIES RELATED TO THE MEDICAL BENEFIT TRUST. SENTENCING OF BOTH INDIVIDUALS IS PENDING."
2211211 WEST MEDFORD LL,19 PEARL STREET,MEDFORD,MA,2011,93359,THERE IS A CURRENT ACTION PENDING IN THIS ORGANIZATION.
AMERICAN LEGION POST 207,83 PARK AVENUE,WEST SPRINGFIELD,MA,2010,-10433,"DURING 2010 IT WAS DISCOVERED THAT SALES WERE SIGNIFICANTLY DECREASED AND NORMAL MONTHLY BILLS WERE NOT BEING PAID TIMELY. ALTHOUGH THERE IS NO EXACT PROOF, IT APPEARS THAT MONIES MAY HAVE BEEN DIVERTED."
ART MEDIA FOUNDATION INC,1327 MASS MOCA WAY 2ND FLOOR,NORTH ADAMS,MA,2015,457847,"REGRETTABLY IN OCTOBER 2016 IT WAS DISCOVERED THAT THE TREASURER OFFICER AND BOARD MEMBER WAS ENGAGED IN SIGNIFICANT INSTANCES OF EMBEZZLEMENT FROM 2012 THROUGH 2016. THIE TREASURER HAS SINCE BEEN TERMINATED AND REMOVED FROM ALL BANK ACCOUNTS IN THE ORGANIZATIONS NAME. IT HAS BEEN DETERMINED THAT THE BOARD MEMBER ALLEGEDLY STOLE OVER 107,000 FROM THE ORGANIZATION."
ASPERGER'S ASSOCIATION OF NEW ENGLAND INC,51 WATER STREET NO 206,WATERTOWN,MA,2009,1099188,"IT WAS DETERMINED THAT A THEFT OF CASH AMOUNTING TO $40,699 HAD OCCURRED DURING THE YEAR ENDED JUNE 30, 2010 AND IS INCLUDED IN LOSS DUE TO MISAPPROPRIATION OF ASSETS ON THE STATEMENT OF ACTIVITIES. THE TOTAL AMOUNT RECOVERABLE HAS NOT BEEN DETERMINED AT THIS TIME. SUBSEQUENT TO YEAR END, THE AGENCY RECOVERED $15,000 OF THE LOSS THROUGH ITS INSURANCE POLICY."
ATLANTIC WHITE SHARK CONSERVANCY INC,PO BOX 66,CHATHAM,MA,2015,270626,"YES, BUT THE ORGANIZATION DID NOT HAVE ANY SIGNIFICANT DIVERSION OF ASSETS. (NOTE: THE ORGANIZATION REPORTED ELSEWHERE ON THE SAME FORM THAT IT SUFFERED A SIGNIFICANT DIVERSION OF ASSETS.)"
BERKLEY ATHLETIC ASSOCIATION INC,60 R ANTHONY ST,BERKLEY,MA,2009,128187,NONE
BERKLEY ATHLETIC ASSOCIATION INC,60 R ANTHONY ST,BERKLEY,MA,2010,107902,NONE
BOSTON CARPENTERS APPRENTICESHIP AND TRAINING FUND,750 DORCHESTER AVENUE,BOSTON,MA,2010,3130157,"ON SEPTEMBER 20, 2011 AN UNKNOWN WIRE TRANSFER OF $100,000 WAS TAKEN FROM THE FUND BY AN UNKNOWN PERSON. THE MONEY WIRING PROCESS WAS INITIATED BY FIRST TRADE UNION BANK AND IT WAS TRANSFERRED TO AN UNKNOWN ACCOUNT WITH JP MORGAN CHASE BANK. FIRST TRADE UNION BANK WAS ABLE TO RECOVER $95,000. THE FUND WAS UNABLE TO RECOVER THE REMAINING $5,000. THE FUND FILED A POLICE REPORT ON SEPTEMBER 24, 2011.DURING THE 2011 IT WAS DISCOVERED THAT THE DIRECTOR BENJAMIN TILTON FAILED TO PAY UNION AND VACATION DUES FROM JANUARY 2005 THROUGH TERMINATION DATE IN JANUARY 2011. THESE FUNDS ARE USUALLY WITHHELD FROM PAY FOR EACH EMPLOYEE AND ATF TRANSFERS THE FULL AMOUNT OF THE DUES TO THE UNION. PAYMENTS TO THE UNION WERE PROPER, HOWEVER SINCE WITHHOLDINGS WERE INCOMPLETE ATF INCURRED ADDITIONAL COSTS IN EXCESS OF PREVIOUS DIRECTORS DUES. WHEN THE ERROR WAS NOTED EMPLOYMENT OF THE DIRECTOR WAS TERMINATED AND RETRO FEES OF $38,685 WERE CALCULATED AND BILLED TO HIM. AS OF YEAR END ALL RETRO FEES HAD BEEN PAID."
BOSTON LIVING CENTER INC,29 STANHOPE STREET,BOSTON,MA,2010,2190504,"IN NOVEMBER OF 2010 THE BOARD OF DIRECTORS WAS ALERTED THAT THE EXECUTIVE DIRECTOR MISSAPPROPRIATED FUNDS FROM THE AGENCY. THE MISSAPPRPORIATION AMOUNTED TO $58,939, $64,263 AND $17,204 IN FISCAL YEARS ENDING JUNE 30, 2011, 2010 AND 2009, RESPECTIVELY. THE EXECUTIVE DIRECTOR WAS TERMINATED IMMEDIATELY. AN INTENSIVE AND EXHAUSTIVE REVIEW PROCESS OF FINANCIAL RECORDS TOOK PLACE AND THE AGENCY PUT INTERNAL CONTROLS IN PLACE SO THAT THERE IS A PROPER SEGRGATION OF DUTIES. MONTHLY REVIEW OF THE FINANCIAL RECORDS WAS IMPLEMENTED AS IT RELATED TO BILLING AND IDENTIFYING UNCOVERED COSTS. ADDITIONAL WORK CONTINUES ON REVIEWING THE FINANCIAL RECORDS ON AN ONGOING BASIS."
BOSTONVIEW CORPORATION C/O BOSTON SOCIETY OF THE NEW JERUSALEM,140 BOWDOIN STREET,BOSTON,MA,2013,1112435,"IN MAY 2013 EDWARD J. MACKENZIE, JR., A MEMBER OF THE BOSTONVIEW BOARD OF DIRECTORS AND AN EMPLOYEE OF THE BOSTON SOCIETY OF THE NEW JERUSALEM, WAS INDICTED ON MULTIPLE COUNTS IN FEDERAL COURT, INCLUDING RICO CONSPIRACY, RACKETEERING, MAIL FRAUD CONSPIRACY, MONEY LAUNDERING CONSPIRACY, EXTORTION, WIRE FRAUD, AIDING AND ABETTING, AND CRIMINAL FORFEITURE. BOSTONVIEW AND THE BOSTON SOCIETY OF THE NEW JERUSALEM WERE IDENTIFIED AS VICTIMS OF HIS ACTIONS. THE AMOUNTS HE IS ALLEGED TO HAVE CONVERTED EXCEED $300,000. THEREAFTER, MR. MACKENZIE'S EMPLOYMENT WAS TERMINATED AND HE WAS REMOVED FROM THE BOSTONVIEW BOARD OF DIRECTORS."
BRAINTREE RIFLE & PISTOL CLUB INC,PO BOX 850024,BRAINTREE,MA,2010,390187,N/A
BROTHERHOOD CREDIT UNION,75 MARKET STREET,LYNN,MA,2011,3164408,"IN SEPTEMBER 2011 MANAGEMENT DISCOVERED A $5,000 CASH SHORTAGE IN THE CASH DRAWER BELONGING TO MEMBER SERVICE REPRESENTATIVE TELLER 09. MANAGEMENT FOLLOWED PROPER PROCEDURES IN CONDUCTING THEIR PRELIMINARY INVESTIGATION. TELLER 09 WAS SUSPENDED WITH PAY, PENDING THE OUTCOME OF THE INVESTIGATION. THE CASH AMOUNT IN HER CASH DRAWER WAS COUNTED AND RE COUNTED SEVERAL TIMES UNDER DUAL CONTROL, AND THE $5,000 SHORTAGE WAS CONFIRMED AND DOCUMENTED. ALL CASH IN THE CREDIT UNION WAS COUNTED AND VERIFIED. NO ADDITIONAL MATERIAL SHORTAGES WERE DISCOVERED. IN ACCORDANCE WITH MASSACHUSETTS GENERAL LAWS, CHAPTER 167, THE COMMISSIONER OF BANKS WAS NOTIFIED IN WRITING OF THE SHORTAGE. IN ADDITION, THE CREDIT UNION'S BONDING COMPANY WAS PROPERLY NOTIFIED.WHILE TELLER 09 DID NOT ADMIT TO MANAGEMENT THAT SHE TOOK THE $5,000 SHE AGREED TO MAKE RESTITUTION. TELLER 09'S EMPLOYMENT WAS TERMINATED AND SHE SUBSEQUENTLY MADE FULL RESTITUTION.ROBERT ANDERSON &  COMPANY WAS ENGAGED BY THE AUDIT COMMITTEE TO CONDUCT A FURTHER INVESTIGATION OF THE ACTIVITIES OF TELLER 09 AT THE CREDIT UNION. THE OBJECTIVE WAS TO DETERMINE IF THERE WERE ADDITIONAL FUNDS MISSING OR MISAPPROPRIATED, OR IF THERE WAS OTHER INAPPROPRIATE OR UNAUTHORIZED ACTIVITIES PERFORMED BY TELLER 09.ROBERT ANDERSON &  COMPANY REACHED THE CONCLUSION THAT NO OTHER FUNDS WERE MISSING OR MISAPPROPRIATED. ON OCTOBER 20, 2011 THE REVIEW OF TELLER 09'S ACTIVITY WAS SUSPENDED. IT IS POSSIBLE THAT ADDITIONAL ITEMS MAY SURFACE. SHOULD THAT OCCUR THE FORENSIC AUDIT COULD BE REOPENED."
CHI OMEGA INC IOTA BETA CHAPTER,28 WEST ROAD,ADAMS,MA,2011,347301,"IN THE PROCESS OF COMPLETING THE YEAR END WORK FOR 8/31/12, WHAT APPEARS TO BE A MISAPPROPRIATION OF THE ORGANIZATION'S FUNDS IN OCTOBER, 2009 WAS DISCOVERED. THE AMOUNT BELIEVED TO BE MISAPPROPRIATED WAS 27,700 FROM WHAT CAN BE DETERMINED AT THIS TIME WITH THE RECORDS AVAILABLE. THERE IS A DEPOSIT INTO THE ORGANIZATION'S CHECKING ACCOUNT IN JANUARY, 2010 FOR 35,000 THAT APPEARS AS THOUGH WAS A RETURN OF MISAPPROPRIATED FUNDS. THE ORGANIZATION IS CURRENTLY REVIEWING BANK RECORDS AND IS SEEKING OUTSIDE COUNSEL TO DETERMINE HOW TO PROCEED WITH THIS MATTER."
COMMITTEE OF TEN THOUSAND INC,71 WINFIELD STREET,NEEDHAM,MA,2015,60985,"AFTER THE END OF YEAR 2015, THE BOARD BECAME AWARE THAT CERTAIN AMOUNTS PAID TO INDEPENDENT CONTRACTORS FOR SERVICES WERE NOT PROPERLY SUPPORTED BY APPROVED INVOICES. THE AMOUNT IN QUESTION IS $14,900 AND THE BOARD IS CONTINUING AN ON-GOING INQUIRY INTO THE MATTER."
FIRST FRIENDS DAYCARE INC,111 PARK AVENUE,WORCESTER,MA,2011,846184,"A DIVERSION OF CASH BY AN EMPLOYEE WAS DISCOVERED DURING THE YEAR WHICH HAS A POTENTIAL RANGE OF $17,000 TO $27,000. THE EMPLOYEE WAS DISCHARGED UPON DISCOVERY AND HAS BEEN LEGALLY PURSUED AND PLACED ON PROBATION WITH RESTITUTION."
FRAMINGHAM UNITED SOCCER CLUB INC,1257 WORCESTER ROAD STE 135,FRAMINGHAM,MA,2015,285450,"IN FEBRUARY 2015, THE ORGANIZATION BECAME AWARE OF SIGNIFICANT UNAUTHORIZED WITHDRAWALS FROM ITS BANK ACCOUNTS VIA CHECK AND DEBIT CARD TRANSACTIONS DURING 2014 AND 2015. AN INVESTIGATION WAS CONDUCTED BY THE MIDDLESEX DISTRICT ATTORNEY'S OFFICE FOCUSING ON THE TREASURER AT THE TIME. AN EMERGENCY MEETING OF THE BOARD WAS HELD AND THE TREASURER WAS IMMEDIATELY REMOVED FROM OFFICE. THE ORGANIZATION HIRED AN INDEPENDENT ACCOUNTING FIRM TO PREPARE A FORENSIC REPORT TO DETERMINE THE AMOUNT OF THE LOSS FOR THE PURPOSES OF SUPPORTING THE INVESTIGATION AND ITS INSURANCE CLAIM. THE ""PROOF OF LOSS"" REPORT WAS ISSUED ON MAY 4, 2015 AND IDENTIFIED UNAUTHORIZED TRANSACTIONS OF 189,466 AND 5,927 IN 2014 AND 2015, RESPECTIVELY. THIS REPORT WAS THEN SUBMITTED TO ITS INSURANCE COMPANY. ON JULY 2, 2015 THE ORGANIZATION WAS REIMBURSED IN FULL FOR ITS CLAIM."
